asset,quadrant,annual_return,sharpe,max_drawdown
GOLD_OZ_USD,1,0.0803478717683677,0.4624305608176807,0.3616998093959324
GOLD_OZ_USD,2,0.0665838130620444,0.3780953151472097,0.2337611473928279
GOLD_OZ_USD,3,0.2384247121811327,1.562820042890731,0.187675486308992
GOLD_OZ_USD,4,0.207761141263123,0.9459644051966216,0.28681916481586
OBLIGATION,1,0.0379808907490143,0.5049219853744967,0.2027680166711597
OBLIGATION,2,0.0357281670430333,0.571029193395799,0.148476603434367
OBLIGATION,3,0.0143514140833226,0.1662513755947287,0.1912373261232051
OBLIGATION,4,0.0971407490847075,0.7500769223723728,0.2243923489915624
SP500,1,0.150929663757596,1.0587264073433589,0.2065964313926251
SP500,2,-0.0136128421163478,-0.0722136132387705,0.3067320051716372
SP500,3,0.122629041533707,0.7418839804487573,0.182331536825352
SP500,4,0.1135520062845594,0.3666398859849565,0.375735547926405
SmallCAP,1,0.1950781984189099,1.0226748105671286,0.2194440770607055
SmallCAP,2,-0.0364554540176544,-0.1532005022793162,0.4240273629492314
SmallCAP,3,0.0648647276830543,0.2916069244940877,0.2802772190520584
SmallCAP,4,0.1460175145719604,0.3996584770862429,0.4361571665184297
TREASURY_10Y,1,0.0221472403062298,0.3961068260110288,0.1153502897638222
TREASURY_10Y,2,0.055351157150383,0.8921691106523648,0.1203346665050808
TREASURY_10Y,3,0.0006210581300951,0.007871563054238,0.1633792931719905
TREASURY_10Y,4,0.0756714555605578,0.8543538174104928,0.0720658515376164
US_REIT_VNQ,1,0.1579320286738101,0.6704398965359099,0.3839083250317774
US_REIT_VNQ,2,0.0193904643844305,0.0873447394142417,0.399273195010805
US_REIT_VNQ,3,0.055345517694592,0.2855493908622955,0.3304807573556567
US_REIT_VNQ,4,0.1530603987465656,0.2958666649215548,0.6149485804137285
